object_id,Z,Z_err,EBV,SpecType,English Translation,split,target
nur_nidh_fuin,0.3193,,0.011,SN Ia,"race + honeycomb + darkness, gloom, night, dead of night ",split_01,0
ogol_saig_adab,1.244,,0.009,AGN,"evil, wicked + hungry  + building, house",split_01,0
onodrim_hervess_firion,0.2837,,0.032,SN Ia,Ents (people)  + wife +  mortal man,split_01,0
paich_Mirion_aeruil,1.357,,0.009,AGN,"syrup, juice  +  jewel, Silmaril  + seaweed",split_01,0
paich_erchion_ablad,1.52,,0.083,AGN,"syrup, juice  + orkish + prohibition, refusal",split_01,0
paich_graw_haradrim,0.4069,,0.031,SN Ia,"syrup, juice  + bear + People of the South",split_01,0
panas_lalaith_bronwe,0.3565,,0.027,SN Ia,floor + laughter + endurance,split_01,0
parf_per_ruith,2.112,,0.055,AGN,book + half + anger,split_01,0
pendrath_Gwathuirim_Elrim,0.159,,0.325,AGN,stairway + Shadowy People (of Dunland)  + Elves,split_01,0
pent_agor_bronwe,0.4184,,0.1,TDE,story + narrow + endurance,split_01,1
per_hwiniol_nimbrethil,1.199,,0.161,AGN,half + fantastic + silver birch (tree) ,split_01,0
perian_gwend_gwilwileth,1.14,,0.025,AGN,"Halfling, Hobbit  + maiden + butterfly",split_01,0
perian_mir_balrog,0.1552,,0.009,SN Ia,"Halfling, Hobbit  +  jewel, treasure +  fire demon ",split_01,0
pethron_corf_menel,0.1991,,0.013,SN II,narrator + ring + heaven,split_01,0
raef_hud_baug,0.151,,0.023,TDE,"net + assembly + oppressive, cruel, tyrannous ",split_01,1
ram_thavron_rusc,0.1555,,0.011,TDE,"wall + builder, carpenter, wright  + fox ",split_01,1
rhach_bellas_alae,0.3609,,0.004,AGN,curse + strengh + Ah,split_01,0
rhun_mir_magol,0.2395,,0.124,SN II,"East +  jewel, treasure + sword",split_01,0
riel_glae_gellui,0.4458,,0.044,SN Ia,princess + grass + triumphant,split_01,0
riel_glass_lasguil,0.966,,0.02,AGN,princess + joy + tea,split_01,0
riel_nadhras_firiel,0.1646,,0.075,AGN,princess + pasture + mortal maiden,split_01,0
ris_hul_minas,0.8378,,0.031,AGN,queen +  cry of encouragement in battle  + city with watchtower ,split_01,0
ris_perian_Tawarwaith,0.4146,,0.067,AGN,"queen + Halfling, Hobbit  + Forest people (Silvan Elves) ",split_01,0
rist_anwar_amlug,0.2454,,0.087,SN II,"cleaver, sword + awe +  snake, serpent",split_01,0
roch_hal_eryn,1.379,,0.037,AGN,"horse + fish + wood, forest",split_01,0
roch_magol_luin,0.8191,,0.051,AGN,horse + sword + blue,split_01,0
rochben_roch_naer,0.3472,,0.047,AGN,"rider + horse +  sad, dreadful, woeful",split_01,0
rom_cae_mil,0.8086,,0.017,AGN,"horn, trumpet + earth +  affection, love, kindness ",split_01,0
rom_lass_laug,0.5683,,0.027,SN Ia,"horn, trumpet + leaf + warm",split_01,0
romru_elvellon_alph,0.3065,,0.012,SN Ia,sound of the horn + Elf-friend + swan,split_01,0
rudh_achas_lachenn,0.9021,,0.032,AGN,"bald + achas +  flame-eyed, Elf who has lived in the Blessed Realm ",split_01,0
ruith_nell_alph,0.4689,,0.019,SN Ia,anger + bell + swan,split_01,0
ruith_nur_aranarth,0.2025,,0.015,SN II,"anger + race + kingdom, realm",split_01,0
ryn_amarth_rhach,1.18,,0.009,AGN,"hound of chase  + doom, fate + curse",split_01,0
saig_nagol_rodwen,0.1517,,0.15,SN Ia,hungry  + tooth +  noble maiden,split_01,0
salph_iar_merilin,0.3409,,0.068,SN Ia," broth, liquid food, soup  + blood + nightingale",split_01,0
sammar_luin_rom,0.4041,,0.022,SN Ia,"neighbour  + blue + horn, trumpet",split_01,0
soga_forodrim_aith,0.7238,,0.088,AGN,"drink + Northmen, Northfolk  + point of spear ",split_01,0
soga_galad_amon,0.3023,,0.008,SN Ia,"drink +  light (bright), sunlight, brilliance, radiance, glittering reflection  + hill, steep-sided mount ",split_01,0
suil_sogannen_bain,0.4731,,0.07,TDE,"hail  + drunk  + beautiful, fair ",split_01,1
talraph_anann_nestad,0.7502,,0.011,AGN," stirrup +  long, for a long time + healing",split_01,0
tang_aranarth_gwanur,1.047,,0.037,AGN,"bowstring  + kingdom, realm + kinsman, kinswoman ",split_01,0
tavor_hud_parf,0.2845,,0.02,SN Ia,woodpecker + assembly + book,split_01,0
tavor_luin_espalass,0.8608,,0.024,AGN,woodpecker + blue + water-fall,split_01,0
thamas_hud_cuil,0.2896,,0.038,TDE,great hall  + assembly + life,split_01,1
thul_iar_lalaith,0.2996,,0.008,SN Ia,breath + blood + laughter,split_01,0
tinnu_maen_gaurwaith,0.4968,,0.086,AGN,"dusk, twilight +  clever, skilled + outlaws (wolf-people)",split_01,0
tirith_randir_gwanur,0.1494,,0.159,SN Ia,"guard, guarding + pilgrim, wanderer + kinsman, kinswoman ",split_01,0
tobas_Elrim_salph,0.2758,,0.064,TDE," roof  + Elves +  broth, liquid food, soup ",split_01,1
tobas_hub_glandagol,0.3751,,0.013,AGN," roof  + harbour, haven, small landlocked bay  + boundary marker ",split_01,0
uir_edlothiad_espalass,0.9238,,0.031,AGN,eternity + flowering + water-fall,split_01,0
uruk_narthan_lin,0.3303,,0.043,AGN,"evil creature + beacon, fire-sign  +  lake, pool ",split_01,0
ylf_gath_dannas,0.3067,,0.037,SN II,drinking vessel  + cavern + autumn,split_01,0
Druadan_rodwen_bragol,0.3249,,0.014,TDE,Wild Man  +  noble maiden + sudden,split_02,1
Elrim_harad_menel,0.7035,,0.043,TDE,Elves + south + heaven,split_02,1
Eluwaith_nestad_in,0.1411,,0.057,AGN,Sindar + healing + year,split_02,0
Ennor_nimp_rovalug,0.9656,,0.015,AGN,Middle-Earth + frail + winged-dragon,split_02,0
Rochirrim_dunadan_annon,0.4505,,0.01,SN Ia,"Horse.Lords (People)  + Númenórean, Man of the West  + gate, door ",split_02,0
Rochirrim_pennas_fervain,0.3651,,0.007,SN Ia,Horse.Lords (People)  + history + northern,split_02,0
aes_faun_melethron,0.3338,,0.03,SN Ia, cooked food + cloud +  lover (masc.),split_02,0
agor_galenas_pod,1.658,,0.028,AGN,narrow + pipe-weed + foot (of an animal) ,split_02,0
agor_gaurwaith_hervenn,0.5263,,0.043,AGN,narrow + outlaws (wolf-people) + husband,split_02,0
ah_eirien_mithren,0.3297,,0.017,SN Ia,and + daisy + grey,split_02,0
aiglos_iphant_corf,1.243,,0.186,AGN,"plant, bush + aged, long-lived + ring",split_02,0
amath_lobor_rhun,0.3376,,0.021,SN Ia,shield wall  + horse + East,split_02,0
amloth_gaw_lalaith,0.3638,,0.045,SN Ia,crest of a helmet  + void + laughter,split_02,0
amloth_talraph_puig,0.1386,,0.051,AGN,"crest of a helmet  +  stirrup +  clean, tidy, neat ",split_02,0
angos_rochir_aras,0.3213,,0.064,TDE,"horror + Horse-Lord, knight, rider  + deer",split_02,1
ank_raegdan_iaun,0.8888,,0.021,SN II,"jaw + sinner +  fane, holy place, sanctuary ",split_02,0
araf_gwaun_nagol,0.1737,,0.012,AGN,wolf + goose + tooth,split_02,0
aran_lin_gwaun,0.5582,,0.052,AGN,"king +  lake, pool  + goose",split_02,0
badhor_mirdan_hwiniol,1.291,,0.198,AGN,"judge + smith, jewelsmith  + fantastic",split_02,0
bass_thamas_galadhrim,1.915,,0.009,AGN,"bread + great hall  + people of the Trees, Elves of Lórien ",split_02,0
bellas_nell_amath,0.9208,,0.041,AGN,strengh + bell + shield wall ,split_02,0
bellas_rochben_aith,0.8892,,0.033,SN II,strengh + rider + point of spear ,split_02,0
bragol_gwathui_gobennas,0.4944,,0.085,SN IIn,sudden + shadowy + history,split_02,0
bragol_ninglor_ank,0.3629,,0.019,SN Ia,sudden + gladden + jaw,split_02,0
braig_dunedhel_elu,0.1851,,0.037,AGN,"fierce, wild + Elf of Beleriand, West-Elf, including Noldor and Sindar  + pale blue ",split_02,0
calad_suil_badhor,0.9764,,0.032,AGN,light + hail  + judge,split_02,0
callon_daen_harad,0.3617,,0.052,AGN,hero + corpse + south,split_02,0
callon_pess_hand,0.4429,,0.077,SN Ia,hero + feather + intelligent,split_02,0
caras_uanui_merilin,0.2828,,0.042,SN Ia,"town, city  + hideous, monstrous + nightingale",split_02,0
celeb_Ithil_cuin,0.4924,,0.043,SN IIn,silver + moon + alive,split_02,0
celon_agor_elu,0.8583,,0.018,AGN,river + narrow + pale blue ,split_02,0
cirdan_araf_maecheneb,0.1988,,0.04,SN II,shipbuilder + wolf +  sharp-eyed,split_02,0
cuin_corch_nothrim,0.3552,,0.007,SN Ia,alive + crow + family,split_02,0
cuin_gondrath_aith,0.1376,,0.027,AGN,alive + causeway + point of spear ,split_02,0
cuin_pess_uir,0.6801,,0.015,AGN,alive + feather + eternity,split_02,0
cund_Mirion_dunedhel,0.2263,,0.117,AGN,"prince +  jewel, Silmaril  + Elf of Beleriand, West-Elf, including Noldor and Sindar ",split_02,0
dirnaith_heledh_minas,0.9246,,0.351,AGN,man-spearhead (wedge formation in battle)  + glass + city with watchtower ,split_02,0
dol_mirdan_adan,1.066,,0.021,AGN,"head, hill + smith, jewelsmith  + Man",split_02,0
drafn_achas_rochben,0.2485,,0.029,AGN," hewn, log + achas + rider",split_02,0
drego_amlug_galadhrim,0.3793,,0.033,AGN,"flee +  snake, serpent + people of the Trees, Elves of Lórien ",split_02,0
dunedhel_min_hub,0.4587,,0.017,AGN,"Elf of Beleriand, West-Elf, including Noldor and Sindar  + peak + harbour, haven, small landlocked bay ",split_02,0
edlothiad_celeb_menel,0.3601,,0.028,SN Ia,flowering + silver + heaven,split_02,0
eilian_hud_lossen,0.2667,,0.052,SN Ic,rainbow + assembly + snowy,split_02,0
erchion_lend_lain,0.2004,,0.012,SN Ia,"orkish + journey, way +  free, freed",split_02,0
eredh_nothrim_hador,0.3184,,0.036,AGN,"germ, seed + family + thrower",split_02,0
espalass_ryn_ist,0.4779,,0.018,SN Ia,"water-fall + hound of chase  + knowledge, lore ",split_02,0
fast_cenedril_pod,0.2191,,0.029,SN Ia, shaggy hair + mirror + foot (of an animal) ,split_02,0
faun_heledh_onodrim,2.63,,0.012,AGN,cloud + glass + Ents (people) ,split_02,0
firiel_tinuviel_ennorath,0.6018,,0.031,SN IIP,mortal maiden + nightingale + lands of Middle-earth,split_02,0
gador_galad_myril,0.7805,,0.123,AGN,"dungeon, prison +  light (bright), sunlight, brilliance, radiance, glittering reflection  + cat",split_02,0
galadhrim_bellas_amarth,0.2464,,0.048,SN Ia,"people of the Trees, Elves of Lórien  + strengh + doom, fate",split_02,0
gath_laes_gaur,0.4214,,0.034,SN Ia,"cavern + babe, also used in children's play as the name of the little finger  + werewolf",split_02,0
gaurwaith_tamin_ungol,0.3112,,0.035,TDE,outlaws (wolf-people) + forge  + spider,split_02,1
gaw_hador_peredhel,2.978,,0.016,AGN,void + thrower + Half-Elf,split_02,0
gellui_maecheneb_raef,0.7269,,0.271,AGN,triumphant +  sharp-eyed + net,split_02,0
gil_mithren_luithien,0.7253,,0.03,AGN," star, bright spark + grey + enchantress",split_02,0
glandagol_dunadan_min,0.3877,,0.019,AGN,"boundary marker  + Númenórean, Man of the West  + peak",split_02,0
glass_menel_rudh,0.3169,,0.043,SN Ia,joy + heaven + bald,split_02,0
glass_nidh_cenedril,0.7997,,0.006,AGN,joy + honeycomb + mirror,split_02,0
gobennas_gondrath_puig,0.2942,,0.109,SN Ia,"history + causeway +  clean, tidy, neat ",split_02,0
gond_Mirion_lain,2.28,,0.129,AGN,"rock, great stone +  jewel, Silmaril  +  free, freed",split_02,0
gondrath_haudh_mund,0.591,,0.036,AGN,"causeway + burial mound, barrow, grave, tomb  + bull",split_02,0
gorn_lebenedh_bregedur,0.2083,,0.122,AGN,valour + middle finger  + wildfire,split_02,0
gorn_narthan_agar,0.3135,,0.058,AGN,"valour + beacon, fire-sign  + glory, brilliance, glitter",split_02,0
grond_ogol_pennas,0.5995,,0.016,SN IIP,"club + evil, wicked + history",split_02,0
gul_celon_gond,0.2138,,0.035,AGN,"evil knowledge, magic, sorcery, necromancy  + river + rock, great stone",split_02,0
gul_eirien_anwar,0.2749,,0.078,AGN,"evil knowledge, magic, sorcery, necromancy  + daisy + awe",split_02,0
gwanur_Gwathuirim_Rochirrim,0.8757,,0.044,AGN,"kinsman, kinswoman  + Shadowy People (of Dunland)  + Horse.Lords (People) ",split_02,0
gwanur_thul_firion,0.2865,,0.025,AGN,"kinsman, kinswoman  + breath +  mortal man",split_02,0
gwarth_bellas_glamor,0.3249,,0.061,TDE,betrayer + strengh + echo,split_02,1
gwend_grond_Mithrim,0.5089,,0.074,SN Ia,maiden + club + Sindar,split_02,0
harad_archam_cae,2.625,,0.056,AGN,south + throne + earth,split_02,0
harad_rochben_forodrim,0.2032,,0.035,SN II,"south + rider + Northmen, Northfolk ",split_02,0
harad_tirith_mithren,0.3465,,0.012,TDE,"south + guard, guarding + grey",split_02,1
haradrim_fae_maecheneb,0.4347,,0.129,SN Ia,"People of the South + soul, spirit  +  sharp-eyed",split_02,0
haudh_pod_maecheneb,0.1868,,0.019,AGN,"burial mound, barrow, grave, tomb  + foot (of an animal)  +  sharp-eyed",split_02,0
helegnen_faradrim_cae,0.786,,0.02,TDE,frozen + hunters + earth,split_02,1
hervenn_rhosc_honeg,0.7202,,0.071,AGN,"husband +  russet, red, brown +  little brother, also the name of the middle finger ",split_02,0
hervenn_tang_callon,0.2768,,0.043,AGN,husband + bowstring  + hero,split_02,0
hervess_bellas_aiglos,0.4829,,0.025,SN IIn,"wife + strengh + plant, bush",split_02,0
honeg_fern_saig,0.9922,,0.025,AGN," little brother, also the name of the middle finger  + dead + hungry ",split_02,0
honeg_romru_soga,0.2863,,0.011,AGN," little brother, also the name of the middle finger  + sound of the horn + drink",split_02,0
hud_bregedur_rist,0.3306,,0.048,TDE,"assembly + wildfire + cleaver, sword",split_02,1
idhren_aear_min,0.7894,,0.115,AGN,"pondering, wise, thoughtful + ocean, sea  + peak",split_02,0
idhren_paich_merilin,1.192,,0.008,AGN,"pondering, wise, thoughtful + syrup, juice  + nightingale",split_02,0
ithron_andrann_lebdas,0.3655,,0.012,AGN,"wizard +  age, cycle  +   index finger ",split_02,0
lacha_Ennor_ogol,0.1557,,0.037,AGN,"flame + Middle-Earth + evil, wicked",split_02,0
lachenn_dirnaith_gwador,1.404,,0.033,AGN," flame-eyed, Elf who has lived in the Blessed Realm  + man-spearhead (wedge formation in battle)  + sworn brother",split_02,0
lachenn_imlad_cugu,0.6652,,0.072,SN IIP," flame-eyed, Elf who has lived in the Blessed Realm  + glen, deep valley + dove",split_02,0
laer_rusc_uruk,0.7135,,0.012,AGN,song + fox  + evil creature,split_02,0
lain_imlad_salph,0.9622,,0.145,AGN," free, freed + glen, deep valley +  broth, liquid food, soup ",split_02,0
lain_tinuviel_aduial,0.1681,,0.028,AGN," free, freed + nightingale + evening, twilight ",split_02,0
lam_aeruil_muinthel,0.3837,,0.129,SN Ia,"tongue, dialect, language  + seaweed + sister",split_02,0
lam_anann_gador,0.821,,0.024,SN II,"tongue, dialect, language  +  long, for a long time + dungeon, prison",split_02,0
law_ithildin_andrann,1.503,,0.081,AGN,"no! don't!  + magic metal that only mirrors starlight and moolight +  age, cycle ",split_02,0
law_pent_sammar,0.3708,,0.022,AGN,no! don't!  + story + neighbour ,split_02,0
lorn_thul_gwathui,0.2045,,0.008,SN II,"anchorage, haven, harbour, quiet water  + breath + shadowy",split_02,0
loss_iaun_gwael,0.8871,,0.016,AGN,"snow +  fane, holy place, sanctuary  + gull",split_02,0
loss_laer_amloth,1.36,,0.116,AGN,snow + song + crest of a helmet ,split_02,0
loss_toll_perian,0.3681,,0.012,AGN,"snow +  island + Halfling, Hobbit ",split_02,0
lossen_aear_faun,0.2633,,0.059,AGN,"snowy + ocean, sea  + cloud",split_02,0
luith_fast_aear,1.466,,0.073,AGN,"spell +  shaggy hair + ocean, sea ",split_02,0
maethor_tobas_laug,0.9321,,0.039,AGN,warrior +  roof  + warm,split_02,0
magol_mund_baug,0.3846,,0.056,SN Ia,"sword + bull + oppressive, cruel, tyrannous ",split_02,0
magor_hend_amarth,1.437,,0.041,AGN,"swordsman + eye + doom, fate",split_02,0
melethron_graw_imrath,0.3006,,0.021,TDE, lover (masc.) + bear + valley,split_02,1
menel_hervess_lend,1.025,,0.012,AGN,"heaven + wife + journey, way",split_02,0
mereth_faun_bass,0.4729,,0.027,SN IIn,"feast, festival  + cloud + bread",split_02,0
mereth_lachenn_heleg,0.312,,0.018,AGN,"feast, festival  +  flame-eyed, Elf who has lived in the Blessed Realm  + ice",split_02,0
min_noroth_manadh,1.559,,0.028,AGN,"peak + giant + final end, fate, fortune",split_02,0
minai_uruk_rochir,2.404,,0.048,AGN,"distinct, unique, single + evil creature + Horse-Lord, knight, rider ",split_02,0
minas_lain_cirion,0.253,,0.2,SN Ia,"city with watchtower  +  free, freed + sailor, shipman ",split_02,0
mindon_tang_firion,0.4086,,0.072,SN Ia,isolated hill  + bowstring  +  mortal man,split_02,0
minuial_meril_salab,0.297,,0.036,SN Ia,"dawn, morrowdim, twilight  + rose + herb",split_02,0
morgul_ennorath_magor,0.3196,,0.023,SN Ia,sorcery + lands of Middle-earth + swordsman,split_02,0
morn_sogannen_midh,0.3699,,0.022,SN Ia,"dark, black + drunk  + dew",split_02,0
muinthel_iphant_tathar,0.8457,,0.025,AGN,"sister + aged, long-lived + tathar",split_02,0
nadhras_galas_nestad,0.3673,,0.081,SN Ia,"pasture + growth, plant  + healing",split_02,0
